drive_id,timeframe_1_start,timeframe_1_stop,timeframe_2_start,timeframe_2_stop,outcome_1,outcome_2,outcome_3,outcome_4
Dyad10Drive1,1_00_40_47,1_00_48_18,1_00_54_38,1_01_04_19,0.875,0.75,0.5,0.125
Dyad10Drive2,1_00_41_48,1_00_48_14,1_00_56_51,1_01_07_38,0.75,0.75,0.75,0.625
Dyad11Drive1,1_00_23_23,1_00_31_58,1_00_37_22,1_00_45_57,0.5,0.875,0.375,0.625
Dyad11Drive2,1_00_41_15,1_00_50_56,1_00_56_27,1_01_03_58,0.625,0.75,0.875,0.625
Dyad13Drive1,NA,NA,NA,NA,0.75,0.625,0.75,0.75
Dyad14Drive1,1_00_47_07,1_00_57_53,1_01_03_12,1_01_09_38,0.875,0.75,0.75,0.75
Dyad14Drive2,1_00_55_10,1_01_04_51,1_01_08_11,1_01_15_42,1,0.75,0.625,0.625
Dyad15Drive1,1_00_51_25,1_01_00_01,1_01_03_35,1_01_12_11,0.875,0.875,1,0.75
Dyad15Drive2,1_00_25_01,1_00_34_42,1_00_41_06,1_00_48_37,1,1,0.875,0.5
Dyad16Drive2,1_00_41_09,1_00_48_40,1_00_52_58,1_01_02_40,0.75,0.625,0.5,0.625
Dyad17Drive1,1_00_51_20,1_00_58_51,1_01_04_00,1_01_13_41,0.75,1,0.375,0.5
Dyad17Drive2,NA,NA,NA,NA,1,1,1,0.625
Dyad18Drive1,1_00_47_23,1_00_54_53,1_01_10_01,1_01_19_43,1,0.625,0.375,0.375
Dyad19Drive2,1_00_42_14,1_00_51_55,1_00_55_13,1_01_02_44,0.75,0.875,0.375,0.125
Dyad1Drive1,1_00_53_44,1_01_00_10,1_01_06_14,1_01_17_00,1,0.875,0.625,0.375
Dyad1Drive2,1_00_56_42,1_01_06_23,1_01_09_00,1_01_16_31,1,0.875,0.875,0.75
Dyad20Drive1,1_00_46_53,1_00_56_34,1_01_00_33,1_01_08_04,1,0.5,0.75,0.375
Dyad21Drive1,1_00_43_02,1_00_52_43,1_00_55_53,1_01_03_24,0.625,0.75,0.625,0.625
Dyad22Drive2,1_00_40_41,1_00_50_22,1_00_54_53,1_01_02_24,0.625,0.625,0.875,0.625
Dyad2Drive1,NA,NA,NA,NA,0.625,0.875,0.875,0.75
Dyad2Drive2,1_00_36_26,1_00_46_07,1_00_51_17,1_00_58_47,0.75,0.875,0.5,0.625
Dyad3Drive1,1_00_56_52,1_01_05_28,1_01_10_56,1_01_19_32,1,0.75,0.5,0.625
Dyad3Drive2,1_00_46_19,1_00_54_55,1_00_59_42,1_01_08_18,0.625,0.875,0.875,0.375
Dyad4Drive1,1_00_44_54,1_00_51_19,1_00_59_25,1_01_10_11,0.875,0.625,0.625,0.625
Dyad4Drive2,1_00_40_56,1_00_49_32,1_00_54_42,1_01_03_17,0.875,1,0.75,1
Dyad5Drive1,1_00_52_28,1_00_59_58,1_01_05_17,1_01_14_58,0.75,0.875,0.625,0.625
Dyad5Drive2,1_00_59_08,1_01_08_48,1_01_11_39,1_01_19_09,0.75,0.75,0.625,0.5
Dyad6Drive1,1_00_11_28,1_00_20_04,1_00_22_44,1_00_31_19,1,0.75,0.625,0.375
Dyad6Drive2,1_00_24_07,1_00_32_43,1_00_35_30,1_00_44_06,0.75,0.5,0.875,0.375
Dyad7Drive1,1_00_48_35,1_00_58_16,1_01_02_39,1_01_10_10,1,0.875,0.625,0.75
Dyad7Drive2,1_00_51_05,1_01_01_51,1_01_04_10,1_01_10_35,0.75,0.625,0.625,0.625
Dyad8Drive2,1_00_50_22,1_01_01_09,1_01_03_49,1_01_10_15,1,0.75,0.375,0.625
Dyad9Drive1,1_00_55_17,1_01_03_53,1_01_09_49,1_01_18_25,0.875,1,0.75,0.75
Dyad9Drive2,1_00_37_52,1_00_48_38,1_00_52_10,1_00_58_36,1,1,0.625,0.125
